dataset_source,threat_label,timestamp_ns,pid,ppid,uid,gid,comm,pcomm,event_type,raw_syscall,target_path,net_daddr,net_dport,mem_prot,mem_addr,ret_val
DARPA_TC_THEIA,APT33_Fileless_Dropper,1790322002668439680,5020,1,1000,1000,thunderbird,parent,EVENT_PROCESS_EXEC,sys_enter_execve,/usr/bin/thunderbird,,0,0x0,0x0,0
DARPA_TC_THEIA,APT33_Fileless_Dropper,1790322002778439680,5025,5020,1000,1000,sh,parent,EVENT_PROCESS_EXEC,sys_enter_execve,/bin/sh,,0,0x0,0x0,0
DARPA_TC_THEIA,APT33_Fileless_Dropper,1790322002908439680,5025,5020,1000,1000,sh,parent,EVENT_NET_CONNECT,sys_enter_connect,,128.55.12.189,443,0x0,0x0,0
DARPA_TC_THEIA,APT33_Fileless_Dropper,1790322003038439680,5025,5020,1000,1000,sh,parent,EVENT_MEMFD_CREATE,sys_enter_memfd_create,memfd:theia_payload_stage2,,0,0x0,0x0,0
DARPA_TC_THEIA,APT33_Fileless_Dropper,1790322003168439680,5026,5025,1000,1000,theia_payload,parent,EVENT_MEM_PROTECT,sys_enter_mprotect,,,0,0x7 (PROT_READ|PROT_WRITE|PROT_EXEC),0x7f1122000000,0
DARPA_TC_THEIA,APT33_Fileless_Dropper,1790322003338439680,5026,5025,1000,1000,theia_payload,parent,EVENT_FILE_OPEN,sys_enter_openat,/etc/shadow,,0,0x0,0x0,0
DARPA_TC_THEIA,APT33_Fileless_Dropper,1790322003478439680,5026,5025,1000,1000,theia_payload,parent,EVENT_NET_CONNECT,sys_enter_connect,,198.51.100.45,8443,0x0,0x0,0
KernelGuard_Attack_Telemetry,fileless,1790322002717004288,6120,6121,1000,1000,curl,bash,EVENT_PROCESS_EXEC,sys_enter_execve,/usr/bin/curl,,0,,,0
KernelGuard_Attack_Telemetry,fileless,1790322002817004544,6120,6121,1000,1000,curl,bash,EVENT_NET_CONNECT,sys_enter_connect,,185.193.64.12,80,,,0
KernelGuard_Attack_Telemetry,fileless,1790322002967004416,6121,6121,1000,1000,bash,systemd,EVENT_MEMFD_CREATE,sys_enter_memfd_create,memfd:kworker_daemon_elf,,0,,,0
KernelGuard_Attack_Telemetry,fileless,1790322003117004288,6122,6121,1000,1000,kworker_daemon,bash,EVENT_MEM_PROTECT,sys_enter_mprotect,,,0,0x7 (PROT_READ|PROT_WRITE|PROT_EXEC),0x7f9a4c000000,0
KernelGuard_Attack_Telemetry,fileless,1790322003267004160,6122,6121,1000,1000,kworker_daemon,bash,EVENT_NET_CONNECT,sys_enter_connect,,194.26.29.112,4444,,,0
KernelGuard_Attack_Telemetry,ransomware,1790322002717004288,7800,1,1000,1000,dark_crypt.elf,bash,EVENT_PROCESS_EXEC,sys_enter_execve,/tmp/.cache/dark_crypt.elf,,0,,,0
KernelGuard_Attack_Telemetry,ransomware,1790322002767004160,7800,1,1000,1000,dark_crypt.elf,bash,EVENT_FILE_OPEN,sys_enter_openat,/home/user/documents/financial_report.xlsx,,0,,,0
KernelGuard_Attack_Telemetry,ransomware,1790322002817004544,7800,1,1000,1000,dark_crypt.elf,bash,EVENT_FILE_UNLINK,sys_enter_unlinkat,/home/user/documents/financial_report.xlsx.locked,,0,,,0
KernelGuard_Attack_Telemetry,ransomware,1790322002867004160,7800,1,1000,1000,dark_crypt.elf,bash,EVENT_FILE_OPEN,sys_enter_openat,/home/user/documents/customer_db.sql,,0,,,0
KernelGuard_Attack_Telemetry,ransomware,1790322002917004288,7800,1,1000,1000,dark_crypt.elf,bash,EVENT_FILE_UNLINK,sys_enter_unlinkat,/home/user/documents/customer_db.sql.locked,,0,,,0
KernelGuard_Attack_Telemetry,ransomware,1790322002967004416,7800,1,1000,1000,dark_crypt.elf,bash,EVENT_FILE_OPEN,sys_enter_openat,/home/user/documents/contracts_2026.pdf,,0,,,0
KernelGuard_Attack_Telemetry,ransomware,1790322003017004544,7800,1,1000,1000,dark_crypt.elf,bash,EVENT_FILE_UNLINK,sys_enter_unlinkat,/home/user/documents/contracts_2026.pdf.locked,,0,,,0
KernelGuard_Attack_Telemetry,ransomware,1790322003067004160,7800,1,1000,1000,dark_crypt.elf,bash,EVENT_FILE_OPEN,sys_enter_openat,/home/user/credentials.kdbx,,0,,,0
KernelGuard_Attack_Telemetry,ransomware,1790322003117004288,7800,1,1000,1000,dark_crypt.elf,bash,EVENT_FILE_UNLINK,sys_enter_unlinkat,/home/user/credentials.kdbx.locked,,0,,,0
KernelGuard_Attack_Telemetry,ransomware,1790322003167004416,7800,1,1000,1000,dark_crypt.elf,bash,EVENT_FILE_OPEN,sys_enter_openat,/home/user/backup/archive.tar.gz,,0,,,0
KernelGuard_Attack_Telemetry,ransomware,1790322003217004544,7800,1,1000,1000,dark_crypt.elf,bash,EVENT_FILE_UNLINK,sys_enter_unlinkat,/home/user/backup/archive.tar.gz.locked,,0,,,0
KernelGuard_Attack_Telemetry,ransomware,1790322003467004416,7800,1,1000,1000,dark_crypt.elf,bash,EVENT_FILE_WRITE,sys_enter_write,/home/user/README_RECOVER_KEYS.txt,,0,,,0
KernelGuard_Attack_Telemetry,ransomware,1790322003617004288,7800,1,1000,1000,dark_crypt.elf,bash,EVENT_NET_CONNECT,sys_enter_connect,,45.142.214.88,8080,,,0
KernelGuard_Attack_Telemetry,reverse_shell,1790322002717004288,8840,1102,33,1000,python3,nginx,EVENT_PROCESS_EXEC,sys_enter_execve,/usr/bin/python3,,0,,,0
KernelGuard_Attack_Telemetry,reverse_shell,1790322002867004416,8840,1102,33,1000,python3,nginx,EVENT_NET_CONNECT,sys_enter_connect,,185.220.101.5,1337,,,0
KernelGuard_Attack_Telemetry,reverse_shell,1790322003017004288,8841,8840,33,1000,sh,python3,EVENT_PROCESS_EXEC,sys_enter_execve,/bin/sh,,0,,,0
KernelGuard_Attack_Telemetry,reverse_shell,1790322003167004416,8841,8840,33,1000,sh,python3,EVENT_FILE_OPEN,sys_enter_openat,/etc/passwd,,0,,,0
KernelGuard_Attack_Telemetry,reverse_shell,1790322003317004544,8841,8840,33,1000,sh,python3,EVENT_FILE_OPEN,sys_enter_openat,/etc/shadow,,0,,,0
KernelGuard_Attack_Telemetry,privesc,1790322002717004288,9310,2810,1000,1000,cve_exploit,bash,EVENT_PROCESS_EXEC,sys_enter_execve,/home/user/dirtycow_exp,,0,,,0
